sex,age,height,weight,year,season,sport,event,medal
M,28,175,64,1948,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
M,28,175,64,1948,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
M,28,175,64,1948,Summer,Gymnastics,Gymnastics Men's Horse Vault,Gold
M,28,175,64,1948,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
M,32,175,64,1952,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
M,28,181,82,1980,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
M,38,169,91,1960,Summer,Hockey,Hockey Men's Hockey,Gold
M,23,181,72,1964,Summer,Hockey,Hockey Men's Hockey,Silver
M,26,160,62,1972,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
F,19,160,48,1972,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
M,29,172,82,1980,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
M,22,190,78,1972,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
M,22,190,78,1972,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
M,21,175,64,1980,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
F,24,171,60,1964,Summer,Volleyball,Volleyball Women's Volleyball,Silver
M,22,168,68,1980,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
F,26,148,46,1964,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
M,25,189,81,1980,Summer,Fencing,"Fencing Men's epee, Team",Bronze
M,20,170,62,1980,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
M,27,179,68,1976,Summer,Hockey,Hockey Men's Hockey,Gold
M,23,162,60,1980,Summer,Boxing,Boxing Men's Lightweight,Bronze
M,25,187,83,1976,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
M,21,178,78,1980,Summer,Judo,Judo Men's Lightweight,Silver
M,23,171,58,1960,Summer,Boxing,Boxing Men's Featherweight,Silver
